tag,n,m,cap_factor,corr,seed,brd_found_pne,brd_alpha,brd_time,initial_pne_welfare,gzr_status,gzr_mip_gap,gzr_obj_bound,gzr_cuts,gzr_br_calls,gzr_time,gzr_obj_val,gzr_first_pne_time,best_pne_welfare,so_status,so_welfare,so_time,pos
n40_m50_cf0.2_corrstrongly_correlated,40,50,0.2,strongly_correlated,74501,True,1.0,1.3450403213500977,273988.0,TIME_LIMIT,0.0001259083387294,278015.0,429,5680,600.262088060379,277980.0,1.6483066082000732,277980.0,OPTIMAL,277980.0,88.82666015625,1.0
n40_m50_cf0.2_corruncorrelated,40,50,0.2,uncorrelated,72483,True,1.0,0.6146466732025146,479665.0,OPTIMAL,1.2061610707493878e-05,497452.0,56,440,4.458452224731445,497446.0,0.7623491287231444,497446.0,OPTIMAL,497424.0,3.261476516723633,0.9999557740940724
n40_m50_cf0.2_corrweakly_correlated,40,50,0.2,weakly_correlated,73492,True,1.0,0.2844076156616211,228442.0,OPTIMAL,9.580546265328874e-05,229654.0,75,1960,31.92296051979065,229632.0,0.4115793704986572,229632.0,OPTIMAL,229632.0,15.532197713851929,1.0
n40_m50_cf0.5_corrstrongly_correlated,40,50,0.5,strongly_correlated,77528,True,1.0,2.10122299194336,542541.0,TIME_LIMIT,0.0003232589782657,606520.999999997,225,2240,600.1524147987366,606325.0,2.7563662528991704,606325.0,TIME_LIMIT,606353.0,600.2367765903473,1.0000461798540388
n40_m50_cf0.5_corruncorrelated,40,50,0.5,uncorrelated,75510,True,1.0,0.7593212127685547,526363.0,OPTIMAL,1.757699522864475e-05,625829.0,42,640,5.289841651916504,625818.0,0.9504542350769044,625818.0,OPTIMAL,625815.0,0.4173855781555176,0.9999952062740286
n40_m50_cf0.5_corrweakly_correlated,40,50,0.5,weakly_correlated,76519,True,1.0,1.124608278274536,479346.0,TIME_LIMIT,0.0001427141401761,532575.9952796438,188,1480,600.2492210865021,532500.0,1.4060938358306885,532500.0,OPTIMAL,532517.0,147.10881352424622,1.000031924882629
n45_m30_cf0.2_corrstrongly_correlated,45,30,0.2,strongly_correlated,80555,True,1.0,0.759690523147583,184361.0,OPTIMAL,4.7061643987518445e-05,187342.8162460148,252,4995,82.44777631759644,187334.0,1.0342295169830322,187334.0,OPTIMAL,187336.0,40.51333904266357,1.0000106761185903
n45_m30_cf0.2_corruncorrelated,45,30,0.2,uncorrelated,78537,True,1.0,0.5165293216705322,310856.0,OPTIMAL,5.2753254410327225e-05,322272.0,62,675,7.502830743789673,322255.0,0.7415935993194579,322255.0,OPTIMAL,322237.0,3.657904863357544,0.9999441436129772
n45_m30_cf0.2_corrweakly_correlated,45,30,0.2,weakly_correlated,79546,True,1.0,0.9940750598907472,159983.0,OPTIMAL,9.92900759569081e-05,161160.0,14,945,36.50865840911865,161144.0,1.2580397129058838,161144.0,OPTIMAL,161141.0,32.80185079574585,0.999981383110758
n45_m30_cf0.5_corrstrongly_correlated,45,30,0.5,strongly_correlated,83582,True,1.0,0.3755052089691162,379373.0,TIME_LIMIT,0.0004771604833388,413055.9999999908,134,3015,600.1809380054474,412859.0,0.5172700881958007,412859.0,TIME_LIMIT,412902.0,600.1067535877228,1.0001041517806322
n45_m30_cf0.5_corruncorrelated,45,30,0.5,uncorrelated,81564,True,1.0,0.312924861907959,343926.0,OPTIMAL,0.0,425329.0,30,450,2.1679391860961914,425329.0,0.4639489650726318,425329.0,OPTIMAL,425304.0,0.6230578422546387,0.9999412219716972
n45_m30_cf0.5_corrweakly_correlated,45,30,0.5,weakly_correlated,82573,True,1.0,0.3070807456970215,302562.0,OPTIMAL,9.876428451085536e-05,344288.0,109,1710,25.32550382614136,344254.0,0.4712021350860594,344254.0,OPTIMAL,344259.0,15.174203872680664,1.0000145241594869
n45_m50_cf0.2_corrstrongly_correlated,45,50,0.2,strongly_correlated,86609,True,1.0,0.9218652248382568,307448.0,TIME_LIMIT,0.0010582391040906,312848.7187683322,741,8685,600.3402826786041,312518.0,1.35933256149292,312518.0,OPTIMAL,312778.0,513.2372694015503,1.0008319520795603
n45_m50_cf0.2_corruncorrelated,45,50,0.2,uncorrelated,84591,True,1.0,0.891465425491333,503575.0,OPTIMAL,6.254003509822575e-05,527695.0,77,900,11.864657640457152,527662.0,1.0970864295959473,527662.0,OPTIMAL,527650.0,4.621718645095825,0.9999772581690552
n45_m50_cf0.2_corrweakly_correlated,45,50,0.2,weakly_correlated,85600,True,1.0,0.4183042049407959,258876.0,OPTIMAL,9.950743818100404e-05,261313.0,126,1800,48.12165188789368,261287.0,0.6096847057342529,261287.0,OPTIMAL,261292.0,25.54860091209412,1.000019136045804
n45_m50_cf0.5_corrstrongly_correlated,45,50,0.5,strongly_correlated,89636,True,1.0,1.9362478256225584,588502.0,TIME_LIMIT,0.0003939791595505,667810.9999999997,143,2880,600.2232456207275,667548.0,2.3338639736175537,667548.0,TIME_LIMIT,667593.0,600.2435836791992,1.000067410882813
n45_m50_cf0.5_corruncorrelated,45,50,0.5,uncorrelated,87618,True,1.0,1.3460524082183838,630644.0,OPTIMAL,0.0,740667.0,21,405,4.510530710220337,740667.0,1.6831066608428955,740667.0,OPTIMAL,740664.0,1.2571790218353271,0.9999959495967824
n45_m50_cf0.5_corrweakly_correlated,45,50,0.5,weakly_correlated,88627,True,1.0,3.558845043182373,557643.0,TIME_LIMIT,0.0002918509549966,599478.9074447333,234,2205,600.1731040477753,599304.0,4.606010913848877,599304.0,TIME_LIMIT,599372.0,600.165718793869,1.0001134649526784
n50_m30_cf0.2_corrstrongly_correlated,50,30,0.2,strongly_correlated,92663,True,1.0,0.5678696632385254,203739.0,OPTIMAL,9.304367193789588e-06,206614.922403219,47,950,25.341078996658325,206613.0,0.762101411819458,206613.0,OPTIMAL,206597.0,23.294336557388306,0.9999225605358812
n50_m30_cf0.2_corruncorrelated,50,30,0.2,uncorrelated,90645,True,1.0,0.7226290702819824,301356.0,OPTIMAL,0.0,336537.0,58,600,8.212337732315063,336537.0,1.2092671394348145,336537.0,OPTIMAL,336537.0,6.329453706741333,1.0
n50_m30_cf0.2_corrweakly_correlated,50,30,0.2,weakly_correlated,91654,True,1.0,0.901608943939209,172243.0,OPTIMAL,9.821139714378148e-05,173113.0,33,1650,26.545015573501587,173096.0,1.0758514404296875,173096.0,OPTIMAL,173100.0,17.6716525554657,1.000023108564034
n50_m30_cf0.5_corrstrongly_correlated,50,30,0.5,strongly_correlated,95690,True,1.0,1.5625641345977783,285342.0,OPTIMAL,3.940932378236781e-05,431387.0,43,850,7.442692756652832,431370.0,1.7816720008850098,431370.0,OPTIMAL,431352.0,4.243764638900757,0.999958272480701
n50_m30_cf0.5_corruncorrelated,50,30,0.5,uncorrelated,93672,True,1.0,0.390373945236206,452085.0,OPTIMAL,1.231891935476605e-06,513365.63241020346,44,450,2.5784873962402344,513365.0,0.5455038547515868,513365.0,OPTIMAL,513334.0,1.185596227645874,0.9999396141147135
n50_m30_cf0.5_corrweakly_correlated,50,30,0.5,weakly_correlated,94681,True,1.0,0.3421499729156494,367025.0,OPTIMAL,6.669315403252655e-05,404200.95563883794,89,700,38.49665546417236,404174.0,0.4901340007781982,404174.0,OPTIMAL,404165.0,83.66966104507446,0.9999777323627942
n50_m50_cf0.2_corrstrongly_correlated,50,50,0.2,strongly_correlated,98717,True,1.0,1.3123323917388916,339112.0,OPTIMAL,9.847109149412503e-05,345313.0,173,1450,259.4676830768585,345279.0,1.7023072242736816,345279.0,OPTIMAL,345279.0,169.30666851997375,1.0
n50_m50_cf0.2_corruncorrelated,50,50,0.2,uncorrelated,96699,True,1.0,0.4025259017944336,568250.0,OPTIMAL,1.6944098031773572e-06,590177.0,73,550,7.124119997024536,590176.0,0.6765263080596924,590176.0,OPTIMAL,590165.0,6.270678758621216,0.9999813614921652
n50_m50_cf0.2_corrweakly_correlated,50,50,0.2,weakly_correlated,97708,True,1.0,0.3561544418334961,289211.0,OPTIMAL,6.858616479883678e-05,291624.0,49,850,140.03242683410645,291604.0,0.5733604431152343,291604.0,OPTIMAL,291599.0,76.80709218978882,0.9999828534588004
n50_m50_cf0.5_corrstrongly_correlated,50,50,0.5,strongly_correlated,101744,True,1.0,3.5213053226470947,699323.0,TIME_LIMIT,0.000303561924656,761195.9999999959,223,3200,600.2630345821381,760965.0,4.259596347808838,760965.0,TIME_LIMIT,760908.0,600.4603128433228,0.9999250951094992
n50_m50_cf0.5_corruncorrelated,50,50,0.5,uncorrelated,99726,True,1.0,1.7341177463531494,786697.0,OPTIMAL,9.639297487999076e-05,881892.0,49,550,8.7879798412323,881807.0,2.4369819164276123,881807.0,OPTIMAL,881776.0,4.074413537979126,0.9999648449150438
n50_m50_cf0.5_corrweakly_correlated,50,50,0.5,weakly_correlated,100735,True,1.0,2.079608917236328,590864.0,OPTIMAL,9.944491655667456e-05,663750.0,261,2450,185.3088610172272,663684.0,2.516139268875122,663684.0,OPTIMAL,663687.0,127.19464135169984,1.0000045202234795
