tag,graph_type,capacity_level,symmetry,n_players,n_nodes,n_edges,n_layers,n_width,seed,brd_found_pne,brd_time,brd_alpha,initial_pne_cost,gzr_status,gzr_mip_gap,gzr_obj_bound,gzr_cuts,gzr_br_calls,gzr_time,gzr_obj_val,gzr_first_pne_time,best_pne_cost,so_status,so_cost,so_time,pos
E_tight_asymmetric_n6_L8W3_s0,layered,tight,asymmetric,6,24,50,8,3,,True,0.1703143119812011,1.0,121.0,OPTIMAL,0.0,102.0,46,126,144.8625464439392,102.0,0.3107428550720215,102.0,OPTIMAL,101.0,27.433716773986816,1.00990099009901
E_tight_asymmetric_n6_L8W5_s0,layered,tight,asymmetric,6,40,127,8,5,,True,0.2041971683502197,1.0,121.0,OPTIMAL,0.0,116.0,2,42,196.57777905464167,116.0,0.4272623062133789,116.0,OPTIMAL,116.0,159.77433896064758,1.0
E_tight_asymmetric_n6_L8W8_s0,layered,tight,asymmetric,6,64,339,8,8,,True,0.3866419792175293,1.0,82.0,TIME_LIMIT,0.0780064091752404,70.99350649350649,18,90,600.2772884368896,77.0,0.7213051319122314,77.0,OPTIMAL,74.0,241.42187762260437,1.0405405405405406
E_tight_asymmetric_n8_L10W10_s0,layered,tight,asymmetric,8,100,705,10,10,,True,0.9726216793060304,1.0000000000000002,75.0,TIME_LIMIT,0.1367421260936333,63.88108266907115,4,40,600.4289226531982,74.00000000000001,2.643460988998413,74.0,OPTIMAL,68.0,502.6099259853363,1.088235294117647
E_tight_asymmetric_n8_L10W3_s0,layered,tight,asymmetric,8,30,63,10,3,,True,0.2290413379669189,1.0,177.0,OPTIMAL,0.0,136.99999999999997,8,72,76.50792098045349,137.00000000000003,0.4620509147644043,137.0,OPTIMAL,137.0,86.52720952033997,1.0
E_tight_asymmetric_n8_L10W5_s0,layered,tight,asymmetric,8,50,165,10,5,,True,0.7794086933135986,1.0000000000000002,146.0,TIME_LIMIT,0.0174106708097299,126.75402346554483,0,32,600.6137592792511,129.0,1.1362733840942385,129.0,OPTIMAL,129.0,341.89311242103577,1.0
E_tight_asymmetric_n8_L10W8_s0,layered,tight,asymmetric,8,80,445,10,8,,True,0.8363885879516602,1.0000000000000002,116.0,TIME_LIMIT,0.1859585609675723,88.73051685453461,3,32,600.6895072460175,109.0,2.1859383583068848,109.0,FEASIBLE,98.0,1204.4494297504425,1.1122448979591837
E_tight_asymmetric_n8_L3W10_s0,layered,tight,asymmetric,8,30,145,3,10,,True,0.1557559967041015,1.0,81.0,OPTIMAL,0.0,74.0,0,24,0.8594107627868652,74.0,0.4522950649261474,74.0,OPTIMAL,74.0,1.2085931301116943,1.0
E_tight_asymmetric_n8_L3W3_s0,layered,tight,asymmetric,8,9,12,3,3,,True,0.0719382762908935,1.0,101.0,OPTIMAL,0.0,89.0,0,24,0.299924373626709,89.0,0.1293122768402099,89.0,OPTIMAL,89.0,0.26321935653686523,1.0
E_tight_asymmetric_n8_L3W5_s0,layered,tight,asymmetric,8,15,38,3,5,,True,0.1034193038940429,1.0,86.0,OPTIMAL,0.0,78.0,3,48,0.7530241012573242,78.0,0.234246015548706,78.0,OPTIMAL,72.0,0.859938383102417,1.0833333333333333
