tag,graph_type,capacity_level,symmetry,n_players,n_nodes,n_edges,n_layers,n_width,seed,brd_found_pne,brd_time,brd_alpha,initial_pne_cost,gzr_status,gzr_mip_gap,gzr_obj_bound,gzr_cuts,gzr_br_calls,gzr_time,gzr_obj_val,gzr_first_pne_time,best_pne_cost,so_status,so_cost,so_time,pos
F_loose_asymmetric_n2_L5W8_s0,layered,loose,asymmetric,2,40,188,5,8,,True,0.1201174259185791,1.0,16.0,OPTIMAL,0.0,16.0,0,4,0.5062558650970459,16.0,0.1761178970336914,16.0,OPTIMAL,16.0,0.5353009700775146,1.0
F_loose_asymmetric_n2_L8W10_s0,layered,loose,asymmetric,2,80,551,8,10,,True,0.1907105445861816,1.0,23.0,OPTIMAL,0.0,23.0,0,4,0.6138670444488525,23.0,0.3086977005004883,23.0,OPTIMAL,23.0,0.8609328269958496,1.0
F_loose_asymmetric_n2_L8W3_s0,layered,loose,asymmetric,2,24,50,8,3,,True,0.0732297897338867,1.0,53.0,OPTIMAL,0.0,53.0,0,4,0.1740458011627197,53.0,0.1037583351135253,53.0,OPTIMAL,53.0,0.11651086807250977,1.0
F_loose_asymmetric_n2_L8W5_s0,layered,loose,asymmetric,2,40,127,8,5,,True,0.0831358432769775,1.0000000000000002,55.0,OPTIMAL,0.0,50.0,0,6,0.2599971294403076,50.0,0.1161458492279052,50.0,OPTIMAL,50.0,0.18182921409606934,1.0
F_loose_asymmetric_n2_L8W8_s0,layered,loose,asymmetric,2,64,339,8,8,,True,0.0755312442779541,1.0,26.0,OPTIMAL,0.0,26.0,0,4,0.5711929798126221,26.0,0.1696555614471435,26.0,OPTIMAL,26.0,0.7057967185974121,1.0
F_loose_asymmetric_n4_L10W10_s0,layered,loose,asymmetric,4,100,705,10,10,,True,0.4104013442993164,1.0,50.0,OPTIMAL,0.0,46.0,0,12,7.243577718734741,46.0,0.7644927501678467,46.0,OPTIMAL,46.0,13.962080001831055,1.0
F_loose_asymmetric_n4_L10W3_s0,layered,loose,asymmetric,4,30,63,10,3,,True,0.0945262908935546,1.0,116.0,OPTIMAL,0.0,105.0,0,12,6.618375062942505,105.0,0.1770534515380859,105.0,OPTIMAL,105.0,5.481364488601685,1.0
F_loose_asymmetric_n4_L10W5_s0,layered,loose,asymmetric,4,50,165,10,5,,True,0.3378274440765381,1.0000000000000002,111.0,OPTIMAL,0.0,84.99999999999999,0,12,1.1398837566375732,85.0,0.4938757419586181,85.0,OPTIMAL,85.0,1.1735689640045166,1.0
F_loose_asymmetric_n4_L10W8_s0,layered,loose,asymmetric,4,80,445,10,8,,True,0.222590684890747,1.0,51.0,OPTIMAL,0.0,51.0,0,8,2.302781105041504,51.0,0.4669585227966308,51.0,OPTIMAL,51.0,4.195787668228149,1.0
F_loose_asymmetric_n4_L3W10_s0,layered,loose,asymmetric,4,30,145,3,10,,True,0.0735063552856445,1.0,23.0,OPTIMAL,0.0,23.0,0,8,0.353672981262207,23.0,0.1625025272369384,23.0,OPTIMAL,23.0,0.7299139499664307,1.0
F_loose_asymmetric_n4_L3W3_s0,layered,loose,asymmetric,4,9,12,3,3,,True,0.0247926712036132,1.0,56.0,OPTIMAL,0.0,56.0,0,8,0.0557262897491455,56.0,0.0387167930603027,56.0,OPTIMAL,56.0,0.027001380920410156,1.0
F_loose_asymmetric_n4_L3W5_s0,layered,loose,asymmetric,4,15,38,3,5,,True,0.0369164943695068,1.0,68.0,OPTIMAL,0.0,68.0,0,8,0.146691083908081,68.0,0.0917737483978271,68.0,OPTIMAL,68.0,0.16348862648010254,1.0
F_loose_asymmetric_n4_L3W8_s0,layered,loose,asymmetric,4,24,94,3,8,,True,0.1715087890625,1.0,23.0,OPTIMAL,0.0,23.0,0,8,0.4298195838928222,23.0,0.259089708328247,23.0,OPTIMAL,23.0,0.5735495090484619,1.0
F_loose_asymmetric_n4_L5W10_s0,layered,loose,asymmetric,4,50,301,5,10,,True,0.1605982780456543,1.0000000000000002,35.0,OPTIMAL,0.0,32.0,0,12,1.2931103706359863,32.0,0.3016042709350586,32.0,OPTIMAL,32.0,1.8398456573486328,1.0
F_loose_asymmetric_n4_L5W3_s0,layered,loose,asymmetric,4,15,28,5,3,,True,0.0365126132965087,1.0,83.0,OPTIMAL,0.0,83.0,0,8,0.1322963237762451,83.0,0.0735163688659668,83.0,OPTIMAL,83.0,0.1470174789428711,1.0
F_loose_asymmetric_n4_L5W5_s0,layered,loose,asymmetric,4,25,73,5,5,,True,0.1447083950042724,1.0,91.0,OPTIMAL,0.0,91.0,3,20,0.7206201553344727,91.0,0.2132236957550048,91.0,OPTIMAL,86.0,0.4299032688140869,1.058139534883721
F_loose_asymmetric_n4_L5W8_s0,layered,loose,asymmetric,4,40,188,5,8,,True,0.2171494960784912,1.0,61.0,OPTIMAL,0.0,55.0,0,12,1.0754187107086182,55.0,0.343158483505249,55.0,OPTIMAL,55.0,1.5514953136444092,1.0
F_loose_asymmetric_n4_L8W10_s0,layered,loose,asymmetric,4,80,551,8,10,,True,0.2442715167999267,1.0,59.0,OPTIMAL,0.0,55.999999916659306,4,28,33.648374795913696,55.99999896407212,0.5937905311584473,56.0,OPTIMAL,55.0,17.31588864326477,1.018181818181818
F_loose_asymmetric_n4_L8W3_s0,layered,loose,asymmetric,4,24,50,8,3,,True,0.0890593528747558,1.0,94.0,OPTIMAL,0.0,77.0,0,12,0.5160312652587891,76.99999999999999,0.175459623336792,77.0,OPTIMAL,77.0,0.6018276214599609,1.0
F_loose_asymmetric_n4_L8W5_s0,layered,loose,asymmetric,4,40,127,8,5,,True,0.1339707374572754,1.0000000000000002,123.0,OPTIMAL,0.0,92.0,0,16,2.625028610229492,92.0,0.2834205627441406,92.0,OPTIMAL,92.0,2.424642324447632,1.0
F_loose_asymmetric_n4_L8W8_s0,layered,loose,asymmetric,4,64,339,8,8,,True,0.2787837982177734,1.0000000000000002,52.0,OPTIMAL,0.0,45.00000000000001,0,12,1.762531042098999,45.00000000000001,0.4360139369964599,45.0,OPTIMAL,45.0,2.5962140560150146,1.0
